0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
28/03/25","ACOMPANHAMENTO DIÁRIO
28/03/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
28/03/25","ACOMPANHAMENTO DIÁRIO
28/03/25",Itaqui,Suape,Paulínia,Araucária,Itacoatiara,Aratu
"Óleo
Diesel A",,"3,6160","3,5889","3,7526","3,7238","3,7247","3,4961"
"Óleo
Diesel A",PPIRSI,35992,35992,"3,8074",37660,36159,"3,6838"
"Óleo
Diesel A",Defasagem [RS/L),"0,0168","0,0103","0,0548","-0,0422",1088,"0,1877"
"Óleo
Diesel A",% Defasado,0%,,-1%,1%,,-5%
Gasolina A,Preco [RSIL),"2,9003",29176,"3,0308","2,9909",9958,"3,0432"
Gasolina A,,29331,29331,31305,"3,0891",9498,"3,0178"
Gasolina A,Defasagem (RS/L),"-0,0328","0,0155","0,099",098,0460,"0,0254"
Gasolina A,% Defasado,,,,,,
"Abicom
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
StoneX
'Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Máxima RSL
28/03/25
Média (%)
Óeo DieseA
011
0,.05
Gasolina A
1%
0,10
0,05
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
28/03/25
Mínima (RSL
Média (%]
Óleo Diesel A
0,03
-0,19
1%
0,11
ENERGIA
ABICOM - PPI
0.03
Gasolina A
0.05","Abicom
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
StoneX
'Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Máxima RSL
28/03/25
Média (%)
Óeo DieseA
011
0,.05
Gasolina A
1%
0,10
0,05
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
28/03/25
Mínima (RSL
Média (%]
Óleo Diesel A
0,03
-0,19
1%
0,11
ENERGIA
ABICOM - PPI
0.03
Gasolina A
0.05","Abicom
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
StoneX
'Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Máxima RSL
28/03/25
Média (%)
Óeo DieseA
011
0,.05
Gasolina A
1%
0,10
0,05
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
28/03/25
Mínima (RSL
Média (%]
Óleo Diesel A
0,03
-0,19
1%
0,11
ENERGIA
ABICOM - PPI
0.03
Gasolina A
0.05","Abicom
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
StoneX
'Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Máxima RSL
28/03/25
Média (%)
Óeo DieseA
011
0,.05
Gasolina A
1%
0,10
0,05
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
28/03/25
Mínima (RSL
Média (%]
Óleo Diesel A
0,03
-0,19
1%
0,11
ENERGIA
ABICOM - PPI
0.03
Gasolina A
0.05","Abicom
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
StoneX
'Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Máxima RSL
28/03/25
Média (%)
Óeo DieseA
011
0,.05
Gasolina A
1%
0,10
0,05
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
28/03/25
Mínima (RSL
Média (%]
Óleo Diesel A
0,03
-0,19
1%
0,11
ENERGIA
ABICOM - PPI
0.03
Gasolina A
0.05","Abicom
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
StoneX
'Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Máxima RSL
28/03/25
Média (%)
Óeo DieseA
011
0,.05
Gasolina A
1%
0,10
0,05
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
28/03/25
Mínima (RSL
Média (%]
Óleo Diesel A
0,03
-0,19
1%
0,11
ENERGIA
ABICOM - PPI
0.03
Gasolina A
0.05","Abicom
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
StoneX
'Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Máxima RSL
28/03/25
Média (%)
Óeo DieseA
011
0,.05
Gasolina A
1%
0,10
0,05
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
28/03/25
Mínima (RSL
Média (%]
Óleo Diesel A
0,03
-0,19
1%
0,11
ENERGIA
ABICOM - PPI
0.03
Gasolina A
0.05","Abicom
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
StoneX
'Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Máxima RSL
28/03/25
Média (%)
Óeo DieseA
011
0,.05
Gasolina A
1%
0,10
0,05
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
28/03/25
Mínima (RSL
Média (%]
Óleo Diesel A
0,03
-0,19
1%
0,11
ENERGIA
ABICOM - PPI
0.03
Gasolina A
0.05"
